Data,Lon,Lat,deepth,Location,Time
3.2,104.55,29.5,8,四川内江市威远县,02/25T16:18:59
4.4,104.5,29.48,10,四川自贡市荣县,02/16T04:28:19
3.9,104.73,28.48,12,四川宜宾市珙县,02/03T23:55:51
5.1,104.46,30.74,21,四川成都市青白江区,02/03T00:05:41
3.4,104.95,28.35,11,四川宜宾市长宁县,01/30T04:20:14
3,103.49,32.08,16,四川阿坝州茂县,01/29T22:00:43
3,105.11,28.83,8,四川宜宾市江安县,01/27T18:55:47
3.8,98.85,33,7,四川甘孜州石渠县,01/23T23:30:36
3.1,103.13,31.67,9,四川阿坝州理县,01/23T22:57:28
4.3,98.87,32.97,13,四川甘孜州石渠县,01/23T22:26:30
4.5,103.13,31.66,13,四川阿坝州理县,01/22T15:08:33
4.1,104.93,28.21,12,四川宜宾市兴文县,01/08T01:09:37
4.3,105.01,29.02,21,四川自贡市富顺县,01/01T11:01:57
3.4,104.53,29.49,9,四川自贡市荣县,01/01T02:48:22
3.1,104.55,29.52,14,四川内江市威远县,12/30T09:24:57
3.8,104.88,28.43,15,四川宜宾市长宁县,12/29T08:47:12
3.7,105,32.28,12,四川广元市青川县,12/27T03:24:56
3.2,104.82,28.42,8,四川宜宾市珙县,12/26T18:45:16
3,103.21,29.99,28,四川雅安市雨城区,12/22T00:01:29
3.2,104.54,29.49,12,四川内江市威远县,12/21T15:35:30
3.3,104.54,29.5,13,四川内江市威远县,12/20T08:52:03
3,104.24,31.57,10,四川绵阳市安州区,12/19T03:37:40
5.2,104.82,29.59,14,四川内江市资中县,12/18T08:14:05
3.2,104.56,29.51,11,四川内江市威远县,12/13T18:23:08
4.6,104.25,31.56,10,四川绵阳市安州区,12/09T15:20:57
3,100.64,28.24,8,四川凉山州木里县,12/03T06:02:30
3.6,100.93,27.64,10,四川凉山州盐源县,11/30T23:58:51
4,104.95,28.35,18,四川宜宾市长宁县,11/27T21:03:02
3.9,100.61,28.23,15,四川凉山州木里县,11/19T04:14:16
3.4,103.56,31.23,22,四川阿坝州汶川县,11/17T06:37:38
3.1,104.94,28.37,8,四川宜宾市长宁县,11/14T07:02:51
3.4,104.76,28.43,10,四川宜宾市珙县,11/10T21:28:06
4.1,104.99,28.17,8,四川宜宾市兴文县,11/10T06:46:51
3.2,104.9,28.38,16,四川宜宾市长宁县,11/07T05:46:18
3.6,102.35,29.07,15,四川雅安市石棉县,10/31T16:03:34
3,101.89,30.07,8,四川甘孜州康定市,10/21T11:52:52
3.7,104.94,28.32,14,四川宜宾市长宁县,10/21T08:25:37
3,101.09,29.74,8,四川甘孜州雅江县,10/12T22:11:30
3.3,104.82,29.57,14,四川内江市威远县,10/09T23:41:09
3.9,100.39,30.61,13,四川甘孜州新龙县,10/01T04:51:53
3.5,102.23,28.26,17,四川凉山州冕宁县,09/21T00:33:09
3.3,103.18,31.76,19,四川阿坝州理县,09/17T00:14:06
3.3,101.92,26.13,13,四川凉山州会理县,09/13T18:34:55
4,104.78,28.41,10,四川宜宾市珙县,09/12T20:17:53
4,104.49,29.51,11,四川自贡市荣县,09/10T01:27:43
4.3,104.53,29.51,7,四川内江市威远县,09/08T10:36:22
5.4,104.79,29.55,10,四川内江市威远县,09/08T06:42:13
3,104.82,29.59,9,四川内江市资中县,09/08T06:36:03
3.9,104.8,28.44,7,四川宜宾市长宁县,09/06T15:25:33
3.3,104.78,28.42,8,四川宜宾市珙县,08/18T20:41:19
4.1,104.87,28.36,12,四川宜宾市长宁县,08/13T06:31:53
3.2,100.62,28.22,13,四川凉山州木里县,08/13T01:47:27
3,101.39,27.38,19,四川凉山州盐源县,08/03T19:16:18
3.3,102.87,27.15,15,四川凉山州宁南县,07/30T05:16:15
3.8,104.74,28.17,8,四川宜宾市珙县,07/30T01:04:34
3,103.24,30.84,17,四川成都市崇州市,07/29T04:14:07
3,104.94,28.38,6,四川宜宾市长宁县,07/23T22:25:24
4.1,104.91,28.35,9,四川宜宾市长宁县,07/22T16:26:36
3,104.84,28.38,8,四川宜宾市长宁县,07/22T16:19
3.2,104.74,28.14,11,四川宜宾市筠连县,07/19T01:21:28
3,104.78,28.42,7,四川宜宾市珙县,07/18T17:18:41
3,104.83,28.42,5,四川宜宾市长宁县,07/16T18:12:56
3,104.83,28.38,7,四川宜宾市长宁县,07/14T18:17:18
3.2,104.86,28.41,4,四川宜宾市长宁县,07/08T00:37:40
3,105.02,28.13,7,四川宜宾市兴文县,07/04T18:01:42
3.1,104.77,28.4,8,四川宜宾市珙县,07/04T10:25:30
5.6,104.74,28.41,8,四川宜宾市珙县,07/04T10:17:58
3.1,104.85,28.4,8,四川宜宾市长宁县,07/04T07:34:05
3,104.8,28.4,15,四川宜宾市珙县,07/03T19:00:04
4.8,104.85,28.4,10,四川宜宾市长宁县,07/03T12:26:53
3.1,104.81,28.44,8,四川宜宾市长宁县,06/30T21:32:29
3,104.77,28.43,9,四川宜宾市珙县,06/30T12:14:25
3.1,98.96,31,7,四川甘孜州白玉县,06/30T03:09:29
3.1,98.96,31.02,8,四川甘孜州白玉县,06/30T03:07:58
3.4,104.76,28.43,8,四川宜宾市珙县,06/29T22:08:17
3.9,104.93,28.21,14,四川宜宾市兴文县,06/27T16:01:19
3,104.8,28.4,9,四川宜宾市珙县,06/27T07:24:26
3.1,104.8,28.43,9,四川宜宾市长宁县,06/27T04:55:52
3.3,104.8,28.42,13,四川宜宾市珙县,06/26T00:33:39
3.4,104.81,28.39,8,四川宜宾市珙县,06/26T00:33:16
4.1,104.8,28.44,10,四川宜宾市长宁县,06/24T09:23:15
3.8,104.83,28.37,9,四川宜宾市珙县,06/24T07:34:58
3.2,104.81,28.44,10,四川宜宾市长宁县,06/24T04:47:22
3.1,104.85,28.36,10,四川宜宾市长宁县,06/23T16:06:49
4.6,104.82,28.39,14,四川宜宾市珙县,06/23T08:28:17
3,104.81,28.44,11,四川宜宾市长宁县,06/23T00:12:51
3,104.81,28.47,13,四川宜宾市长宁县,06/22T23:25:35
5.4,104.77,28.43,10,四川宜宾市珙县,06/22T22:29:56
3.6,104.83,28.37,8,四川宜宾市珙县,06/22T20:30:26
3.4,104.81,28.4,7,四川宜宾市珙县,06/22T09:29:24
3.2,104.82,28.41,8,四川宜宾市珙县,06/22T09:28:04
3,104.8,28.42,8,四川宜宾市珙县,06/22T04:09:54
3.6,104.78,28.43,8,四川宜宾市珙县,06/21T15:09:55
3,104.76,29.61,9,四川内江市资中县,06/21T12:03:51
3.1,104.8,28.41,8,四川宜宾市珙县,06/21T10:01:36
3.4,104.81,28.43,10,四川宜宾市长宁县,06/21T06:56:49
3,104.8,28.43,16,四川宜宾市长宁县,06/21T03:28:55
3.7,104.75,28.41,9,四川宜宾市珙县,06/20T22:01:16
3.4,104.75,28.4,15,四川宜宾市珙县,06/20T20:58:45
3.1,104.76,28.41,14,四川宜宾市珙县,06/20T14:28:58
3.2,104.76,28.41,5,四川宜宾市珙县,06/20T13:17:12
3.1,104.84,28.39,7,四川宜宾市长宁县,06/20T10:55:52
3,104.76,28.42,9,四川宜宾市珙县,06/20T03:55:31
3.4,104.77,28.41,8,四川宜宾市珙县,06/20T01:44:31
3,104.89,28.38,8,四川宜宾市长宁县,06/19T04:39:14
3,104.81,28.39,8,四川宜宾市珙县,06/19T03:25:29
3,104.82,28.4,10,四川宜宾市珙县,06/19T03:02:43
3.3,104.85,28.39,10,四川宜宾市长宁县,06/18T18:53:58
3.7,104.75,28.43,10,四川宜宾市长宁县,06/18T14:38:35
3.1,104.88,28.36,11,四川宜宾市长宁县,06/18T08:39:54
3.7,104.8,28.39,10,四川宜宾市珙县,06/18T08:14:52
5.3,104.89,28.37,17,四川宜宾市长宁县,06/18T07:34:33
3.8,104.81,28.4,11,四川宜宾市珙县,06/18T05:49:14
3.9,104.79,28.41,9,四川宜宾市珙县,06/18T05:04:03
4.5,104.87,28.38,14,四川宜宾市长宁县,06/18T05:03:25
3,104.88,28.36,9,四川宜宾市长宁县,06/18T04:13:54
3.4,104.75,28.41,7,四川宜宾市珙县,06/18T04:11:08
3.1,104.87,28.38,8,四川宜宾市长宁县,06/18T04:04:29
3.1,104.81,28.39,9,四川宜宾市珙县,06/18T02:58:18
3.1,104.8,28.41,10,四川宜宾市珙县,06/18T01:01:24
3.8,104.92,28.39,11,四川宜宾市长宁县,06/18T00:39:11
4.2,104.87,28.39,10,四川宜宾市长宁县,06/18T00:37:55
4.1,104.85,28.39,10,四川宜宾市长宁县,06/18T00:29:07
5.1,104.77,28.43,16,四川宜宾市珙县,06/17T23:36:01
3,104.9,28.4,8,四川宜宾市长宁县,06/17T23:23:31
3.6,104.84,28.39,10,四川宜宾市长宁县,06/17T23:09:01
6,104.9,28.34,16,四川宜宾市长宁县,06/17T22:55:43
3.6,103.75,33.33,7,四川阿坝州九寨沟县,06/16T20:51:13
3,101.22,27.56,17,四川凉山州盐源县,06/04T02:09:04
3,104.41,32.01,17,四川绵阳市北川县,05/18T13:20:01
4.5,103.01,30.43,14,四川雅安市芦山县,05/02T15:57:58
3.3,104.76,28.14,11,四川宜宾市珙县,04/27T01:19:12
3.3,103.35,28.08,19,四川凉山州雷波县,04/24T23:55:25
3.4,105.13,32.33,23,四川广元市青川县,04/16T04:17:43
3.4,101.8,31.97,18,四川阿坝州马尔康市,04/01T11:11:06
3.1,105.42,28.93,10,四川泸州市龙马潭区,03/31T04:08:37
3,104.84,28.2,8,四川宜宾市珙县,03/17T11:46:24
3.3,104.53,29.45,8,四川内江市威远县,03/08T19:14:30
4.9,104.49,29.48,5,四川自贡市荣县,02/25T13:15:59
4.3,104.5,29.46,5,四川自贡市荣县,02/25T08:40:26
4.7,104.49,29.47,5,四川自贡市荣县,02/24T05:38:10
3,105.37,32.6,9,四川广元市青川县,02/23T01:42:58
3.3,104.76,29.57,6,四川内江市威远县,02/12T10:55:21
3.3,104.01,31.63,21,四川德阳市绵竹市,02/10T05:36:01
3.6,102.38,29.04,21,四川雅安市石棉县,02/08T18:00:45
3.3,104.8,29.59,5,四川内江市资中县,02/08T00:29:12
3.1,99.36,28.47,13,四川甘孜州得荣县,01/30T19:07:12
3.2,104.97,32.28,18,四川绵阳市平武县,01/30T09:53:37
3.2,104.49,29.5,5,四川自贡市荣县,01/23T14:40:37
3,105.44,28.91,5,四川泸州市龙马潭区,01/21T21:37:31
3.4,103.2,30.83,21,四川成都市崇州市,01/20T08:35:49
3.4,104.86,28.23,5,四川宜宾市珙县,01/20T00:38:23
3.1,102.68,26.72,8,四川凉山州会东县,01/17T05:08
3.8,102.27,31.77,18,四川阿坝州马尔康市,01/11T17:49:50
3.6,99.38,28.49,21,四川甘孜州得荣县,01/08T08:49:24
3.1,104.46,29.44,4,四川自贡市荣县,01/07T19:13:05
3.1,99.6,30.65,7,四川甘孜州白玉县,01/05T20:37:30
3.2,104.93,28.36,6,四川宜宾市长宁县,01/04T15:59:31
5.3,104.86,28.2,15,四川宜宾市珙县,01/03T08:48:06
